"","Gene","seqnames","start","end","width","strand","ranges"
"5967","AT1G47900","1",17647144,17651425,4282,"-","17647144-17651425"
"5969","AT1G47910","1",17656860,17660288,3429,"+","17656860-17660288"
"5970","AT1G47915","1",17660752,17660973,222,"+","17660752-17660973"
"5971","AT1G47920","1",17661095,17662394,1300,"+","17661095-17662394"
"5972","AT1G47930","1",17662900,17663940,1041,"+","17662900-17663940"
"5973","AT1G47940","1",17668285,17669713,1429,"+","17668285-17669713"
"5974","AT1G47946","1",17673332,17673526,195,"-","17673332-17673526"
"5975","AT1G47950","1",17675488,17681953,6466,"-","17675488-17681953"
"5976","AT1G47960","1",17681157,17683629,2473,"-","17681157-17683629"
"5977","AT1G47970","1",17687269,17688816,1548,"+","17687269-17688816"
"5978","AT1G47980","1",17691834,17693867,2034,"-","17691834-17693867"
"11024","AT2G03620","2",1100339,1102768,2430,"-","1100339-1102768"
"11026","AT2G03630","2",1103205,1103963,759,"+","1103205-1103963"
"11028","AT2G03640","2",1104307,1106791,2485,"-","1104307-1106791"
"11032","AT2G03650","2",1109237,1110411,1175,"-","1109237-1110411"
"11033","AT2G03660","2",1113984,1114055,72,"-","1113984-1114055"
"11034","AT2G03667","2",1114127,1117439,3313,"+","1114127-1117439"
"11035","AT2G03670","2",1117507,1120436,2930,"+","1117507-1120436"
"11036","AT2G03680","2",1120800,1122055,1256,"+","1120800-1122055"
"11038","AT2G03690","2",1121900,1123171,1272,"-","1121900-1123171"
"11039","AT2G03700","2",1123390,1123461,72,"-","1123390-1123461"
"11040","AT2G03710","2",1129268,1131838,2571,"+","1129268-1131838"
"11043","AT2G03720","2",1132170,1133379,1210,"+","1132170-1133379"
"11045","AT2G03730","2",1137635,1140186,2552,"-","1137635-1140186"
"11046","AT2G03740","2",1142725,1143988,1264,"-","1142725-1143988"
"11047","AT2G03750","2",1147807,1149061,1255,"-","1147807-1149061"
"11048","AT2G03760","2",1149337,1150663,1327,"-","1149337-1150663"
"11049","AT2G03770","2",1150871,1151845,975,"-","1150871-1151845"
"11050","AT2G03780","2",1152467,1154291,1825,"-","1152467-1154291"
"11051","AT2G03790","2",1154385,1154457,73,"+","1154385-1154457"
"11052","AT2G03800","2",1156713,1158934,2222,"+","1156713-1158934"
"11056","AT2G03810","2",1162523,1164573,2051,"+","1162523-1164573"
"11057","AT2G03820","2",1164957,1167029,2073,"-","1164957-1167029"
"11058","AT2G03821","2",1167303,1168206,904,"-","1167303-1168206"
"11059","AT2G03822","2",1168200,1168373,174,"+","1168200-1168373"
"11060","AT2G03830","2",1171136,1172363,1228,"+","1171136-1172363"
"11061","AT2G03840","2",1173170,1174115,946,"+","1173170-1174115"
"11062","AT2G03850","2",1175581,1176702,1122,"+","1175581-1176702"
"11063","AT2G03860","2",1176899,1177637,739,"+","1176899-1177637"
"11065","AT2G03870","2",1180217,1181437,1221,"+","1180217-1181437"
"11066","AT2G03880","2",1181537,1183703,2167,"+","1181537-1183703"
"11067","AT2G03890","2",1185522,1188545,3024,"+","1185522-1188545"
"11069","AT2G03900","2",1191786,1192996,1211,"-","1191786-1192996"
"11070","AT2G03910","2",1194702,1195599,898,"-","1194702-1195599"
"11071","AT2G03913","2",1197885,1198249,365,"+","1197885-1198249"
"11072","AT2G03915","2",1199311,1200432,1122,"-","1199311-1200432"
"11073","AT2G03920","2",1201318,1203687,2370,"-","1201318-1203687"
"11075","AT2G03931","2",1214428,1214843,416,"+","1214428-1214843"
"11076","AT2G03932","2",1213233,1213650,418,"+","1213233-1213650"
"11077","AT2G03933","2",1217568,1217932,365,"+","1217568-1217932"
"11078","AT2G03934","2",1219720,1220265,546,"+","1219720-1220265"
"11079","AT2G03935","2",1227749,1228433,685,"-","1227749-1228433"
"11080","AT2G03936","2",1221111,1221522,412,"+","1221111-1221522"
"11081","AT2G03937","2",1224389,1224753,365,"+","1224389-1224753"
"11083","AT2G03938","2",1215316,1215465,150,"+","1215316-1215465"
"11084","AT2G03940","2",1229288,1232499,3212,"+","1229288-1232499"
"11085","AT2G03950","2",1232666,1233185,520,"-","1232666-1233185"
"11086","AT2G03955","2",1238677,1239071,395,"+","1238677-1239071"
"11087","AT2G03958","2",1243663,1243992,330,"+","1243663-1243992"
"11088","AT2G03960","2",1246148,1249170,3023,"-","1246148-1249170"
"11089","AT2G03970","2",1253609,1254478,870,"+","1253609-1254478"
"11091","AT2G03972","2",1255248,1256445,1198,"-","1255248-1256445"
"11092","AT2G03980","2",1259199,1262552,3354,"+","1259199-1262552"
"11093","AT2G03990","2",1265118,1267026,1909,"+","1265118-1267026"
"11094","AT2G04000","2",1267762,1268337,576,"-","1267762-1268337"
"11095","AT2G04010","2",1269099,1271157,2059,"-","1269099-1271157"
"11096","AT2G04020","2",1274427,1275524,1098,"+","1274427-1275524"
"11097","AT2G04025","2",1276777,1277734,958,"-","1276777-1277734"
"11098","AT2G04030","2",1281841,1286104,4264,"+","1281841-1286104"
"11100","AT2G04031","2",1304160,1304779,620,"-","1304160-1304779"
"11101","AT2G04032","2",1289832,1291383,1552,"+","1289832-1291383"
"11102","AT2G04033","2",1293112,1293488,377,"+","1293112-1293488"
"11103","AT2G04034","2",1297161,1297543,383,"+","1297161-1297543"
"11104","AT2G04035","2",1293576,1294533,958,"-","1293576-1294533"
"11105","AT2G04036","2",1327909,1330024,2116,"+","1327909-1330024"
"11106","AT2G04037","2",1305663,1306136,474,"-","1305663-1306136"
"11107","AT2G04038","2",1331919,1332419,501,"+","1331919-1332419"
"11108","AT2G04039","2",1333262,1334566,1305,"+","1333262-1334566"
"11111","AT2G04040","2",1334512,1336489,1978,"-","1334512-1336489"
"11112","AT2G04041","2",1308089,1308544,456,"-","1308089-1308544"
"11113","AT2G04042","2",1298496,1300722,2227,"+","1298496-1300722"
"11114","AT2G04043","2",1312584,1314038,1455,"+","1312584-1314038"
"11115","AT2G04045","2",1314763,1315302,540,"+","1314763-1315302"
"11116","AT2G04046","2",1315860,1316296,437,"+","1315860-1316296"
"11117","AT2G04047","2",1317153,1317386,234,"+","1317153-1317386"
"11118","AT2G04050","2",1337386,1339270,1885,"-","1337386-1339270"
"11119","AT2G04060","2",1342137,1345164,3028,"-","1342137-1345164"
"11120","AT2G04063","2",1349758,1350177,420,"-","1349758-1350177"
"11121","AT2G04066","2",1352887,1353517,631,"-","1352887-1353517"
"11122","AT2G04070","2",1353755,1355790,2036,"-","1353755-1355790"
"11123","AT2G04080","2",1357189,1359253,2065,"-","1357189-1359253"
"11124","AT2G04090","2",1362653,1364690,2038,"-","1362653-1364690"
"11125","AT2G04100","2",1376890,1379130,2241,"-","1376890-1379130"
"11126","AT2G04110","2",1382635,1383495,861,"-","1382635-1383495"
"11127","AT2G04115","2",1385449,1386071,623,"+","1385449-1386071"
"11128","AT2G04120","2",1388194,1388947,754,"+","1388194-1388947"
"11129","AT2G04130","2",1389158,1390976,1819,"-","1389158-1390976"
"11130","AT2G04135","2",1391930,1392938,1009,"-","1391930-1392938"
"11131","AT2G04140","2",1398947,1399228,282,"+","1398947-1399228"
"11132","AT2G04150","2",1400044,1401282,1239,"+","1400044-1401282"
"11133","AT2G04160","2",1401268,1407745,6478,"-","1401268-1407745"
"11135","AT2G04170","2",1417182,1419247,2066,"-","1417182-1419247"
"11139","AT2G04180","2",1422038,1425392,3355,"+","1422038-1425392"
"11140","AT2G04190","2",1427481,1430342,2862,"-","1427481-1430342"
"11141","AT2G04200","2",1432567,1434934,2368,"+","1432567-1434934"
"11142","AT2G04210","2",1436128,1437590,1463,"+","1436128-1437590"
"11143","AT2G04220","2",1445401,1446507,1107,"+","1445401-1446507"
"11144","AT2G04230","2",1446864,1449100,2237,"-","1446864-1449100"
"11145","AT2G04235","2",1449414,1455237,5824,"+","1449414-1455237"
"11146","AT2G04240","2",1461630,1462934,1305,"-","1461630-1462934"
"11148","AT2G04250","2",1469300,1469842,543,"-","1469300-1469842"
"11149","AT2G04260","2",1470757,1471477,721,"+","1470757-1471477"
"11150","AT2G04270","2",1474679,1480109,5431,"+","1474679-1480109"
"11155","AT2G04280","2",1480068,1482089,2022,"-","1480068-1482089"
"11156","AT2G04290","2",1485408,1490783,5376,"-","1485408-1490783"
"11157","AT2G04300","2",1493009,1497016,4008,"+","1493009-1497016"
"11158","AT2G04305","2",1501408,1503785,2378,"-","1501408-1503785"
"11159","AT2G04310","2",1506119,1508509,2391,"+","1506119-1508509"
"11160","AT2G04320","2",1509377,1509910,534,"+","1509377-1509910"
"11161","AT2G04330","2",1510450,1513142,2693,"-","1510450-1513142"
"11162","AT2G04340","2",1513512,1515540,2029,"+","1513512-1515540"
"11163","AT2G04350","2",1515805,1519308,3504,"+","1515805-1519308"
"11165","AT2G04360","2",1519393,1521056,1664,"-","1519393-1521056"
"11166","AT2G04370","2",1523763,1524121,359,"-","1523763-1524121"
"11167","AT2G04378","2",1525331,1526875,1545,"-","1525331-1526875"
"11169","AT2G04380","2",1525642,1526767,1126,"+","1525642-1526767"
"11170","AT2G04390","2",1527016,1528493,1478,"+","1527016-1528493"
"11171","AT2G04395","2",1529083,1529954,872,"-","1529083-1529954"
"11172","AT2G04400","2",1531148,1533737,2590,"+","1531148-1533737"
"11173","AT2G04410","2",1533697,1535118,1422,"-","1533697-1535118"
"11174","AT2G04420","2",1535489,1536250,762,"+","1535489-1536250"
"11175","AT2G04425","2",1536975,1537504,530,"-","1536975-1537504"
"11176","AT2G04430","2",1538901,1541094,2194,"+","1538901-1541094"
"11177","AT2G04440","2",1541511,1542729,1219,"+","1541511-1542729"
"11178","AT2G04450","2",1543320,1545462,2143,"+","1543320-1545462"
"11179","AT2G04460","2",1547538,1548999,1462,"-","1547538-1548999"
"11180","AT2G04470","2",1550133,1553029,2897,"-","1550133-1553029"
"11181","AT2G04480","2",1554282,1555514,1233,"-","1554282-1555514"
"11182","AT2G04490","2",1557260,1561743,4484,"-","1557260-1561743"
"11183","AT2G04495","2",1564166,1565106,941,"+","1564166-1565106"
"11184","AT2G04500","2",1568284,1570271,1988,"+","1568284-1570271"
"11185","AT2G04510","2",1570497,1571827,1331,"-","1570497-1571827"
"11186","AT2G04515","2",1573637,1574478,842,"+","1573637-1574478"
"11187","AT2G04520","2",1574592,1575863,1272,"-","1574592-1575863"
"11188","AT2G04530","2",1576709,1578741,2033,"+","1576709-1578741"
"11189","AT2G04540","2",1581416,1584688,3273,"-","1581416-1584688"
"11190","AT2G04550","2",1588360,1590166,1807,"+","1588360-1590166"
"11192","AT2G04560","2",1590306,1592667,2362,"-","1590306-1592667"
"11193","AT2G04570","2",1594673,1596349,1677,"+","1594673-1596349"
"11194","AT2G04580","2",1599682,1600833,1152,"-","1599682-1600833"
"11195","AT2G04590","2",1607035,1607683,649,"-","1607035-1607683"
"11196","AT2G04600","2",1608076,1609758,1683,"-","1608076-1609758"
"11197","AT2G04610","2",1609935,1610372,438,"+","1609935-1610372"
"11198","AT2G04620","2",1610506,1612902,2397,"-","1610506-1612902"
"11199","AT2G04622","2",1613686,1614019,334,"-","1613686-1614019"
"11200","AT2G04625","2",1618416,1618728,313,"-","1618416-1618728"
"11201","AT2G04630","2",1618936,1620336,1401,"-","1618936-1620336"
"11202","AT2G04650","2",1621788,1624593,2806,"-","1621788-1624593"
"11203","AT2G04660","2",1624741,1629162,4422,"+","1624741-1629162"
"11204","AT2G04670","2",1631697,1636084,4388,"-","1631697-1636084"
"11205","AT2G04675","2",1637483,1638647,1165,"-","1637483-1638647"
"11206","AT2G04680","2",1640140,1642209,2070,"+","1640140-1642209"
"11208","AT2G04690","2",1644497,1646355,1859,"+","1644497-1646355"
"11209","AT2G04700","2",1646807,1648560,1754,"+","1646807-1648560"
"11210","AT2G04710","2",1650512,1651756,1245,"-","1650512-1651756"
"11211","AT2G04720","2",1653007,1654308,1302,"-","1653007-1654308"
"11212","AT2G04730","2",1654500,1655699,1200,"-","1654500-1655699"
"11213","AT2G04740","2",1657121,1659689,2569,"+","1657121-1659689"
"11214","AT2G04750","2",1659762,1662748,2987,"-","1659762-1662748"
"11215","AT2G04760","2",1665780,1668389,2610,"+","1665780-1668389"
"11216","AT2G04770","2",1671116,1672075,960,"+","1671116-1672075"
"11217","AT2G04780","2",1676742,1678455,1714,"+","1676742-1678455"
"11221","AT2G04790","2",1679528,1680460,933,"+","1679528-1680460"
"11223","AT2G04795","2",1682953,1683475,523,"+","1682953-1683475"
"11225","AT2G04800","2",1687340,1687817,478,"-","1687340-1687817"
"11226","AT2G04810","2",1688773,1689966,1194,"+","1688773-1689966"
"11227","AT2G04820","2",1693577,1695310,1734,"-","1693577-1695310"
"11228","AT2G04830","2",1695355,1695856,502,"+","1695355-1695856"
"11229","AT2G04840","2",1697009,1698240,1232,"+","1697009-1698240"
"11230","AT2G04842","2",1698466,1701271,2806,"-","1698466-1701271"
"11231","AT2G04845","2",1702221,1704003,1783,"-","1702221-1704003"
"11233","AT2G04850","2",1704283,1705778,1496,"+","1704283-1705778"
"11234","AT2G04852","2",1705148,1706465,1318,"-","1705148-1706465"
"11235","AT2G04860","2",1706787,1708865,2079,"-","1706787-1708865"
"11236","AT2G04865","2",1711596,1714877,3282,"+","1711596-1714877"
"11237","AT2G04870","2",1716168,1716386,219,"-","1716168-1716386"
"11238","AT2G04880","2",1717888,1720526,2639,"+","1717888-1720526"
"11240","AT2G04890","2",1720361,1722604,2244,"-","1720361-1722604"
"11241","AT2G04900","2",1722481,1723831,1351,"+","1722481-1723831"
"11244","AT2G04910","2",1723980,1724354,375,"-","1723980-1724354"
"11245","AT2G04920","2",1726138,1727268,1131,"+","1726138-1727268"
"11246","AT2G04925","2",1729689,1730190,502,"-","1729689-1730190"
"11247","AT2G04930","2",1733638,1734471,834,"-","1733638-1734471"
"11248","AT2G04940","2",1736485,1740388,3904,"-","1736485-1740388"
"11249","AT2G04950","2",1743182,1745150,1969,"+","1743182-1745150"
"11250","AT2G04970","2",1745973,1750207,4235,"-","1745973-1750207"
"11251","AT2G04980","2",1751964,1756568,4605,"-","1751964-1756568"
"11252","AT2G04990","2",1758936,1761353,2418,"+","1758936-1761353"
"11253","AT2G05000","2",1761804,1762378,575,"-","1761804-1762378"
"11254","AT2G05010","2",1763645,1765840,2196,"-","1763645-1765840"
"11255","AT2G05020","2",1769699,1772524,2826,"+","1769699-1772524"
"11256","AT2G05025","2",1773259,1774761,1503,"+","1773259-1774761"
"11257","AT2G05030","2",1781886,1782503,618,"+","1781886-1782503"
"11258","AT2G05040","2",1783119,1786463,3345,"+","1783119-1786463"
"11259","AT2G05050","2",1794035,1795084,1050,"+","1794035-1795084"
"11260","AT2G05060","2",1798155,1799102,948,"+","1798155-1799102"
"11261","AT2G05070","2",1799234,1800392,1159,"-","1799234-1800392"
"11262","AT2G05080","2",1805751,1809975,4225,"-","1805751-1809975"
"11263","AT2G05082","2",1812134,1813300,1167,"-","1812134-1813300"
"11264","AT2G05084","2",1814327,1815487,1161,"-","1814327-1815487"
"11265","AT2G05087","2",1816326,1817535,1210,"-","1816326-1817535"
"11266","AT2G05090","2",1818142,1820701,2560,"-","1818142-1820701"
"11267","AT2G05100","2",1823240,1824425,1186,"-","1823240-1824425"
"11268","AT2G05110","2",1828028,1833219,5192,"-","1828028-1833219"
"11269","AT2G05115","2",1834466,1835922,1457,"-","1834466-1835922"
"11270","AT2G05117","2",1838592,1839014,423,"-","1838592-1839014"
"11272","AT2G05120","2",1841909,1846858,4950,"-","1841909-1846858"
"11273","AT2G05130","2",1849017,1850496,1480,"-","1849017-1850496"
"11274","AT2G05133","2",1851692,1852328,637,"-","1851692-1852328"
"11275","AT2G05140","2",1853935,1854903,969,"+","1853935-1854903"
"11276","AT2G05150","2",1857570,1857927,358,"+","1857570-1857927"
"11277","AT2G05160","2",1858543,1861895,3353,"-","1858543-1861895"
"11278","AT2G05170","2",1869877,1873812,3936,"+","1869877-1873812"
"11279","AT2G05171","2",1874040,1874997,958,"+","1874040-1874997"
"11280","AT2G05180","2",1875390,1876794,1405,"+","1875390-1876794"
"11281","AT2G05185","2",1876938,1878219,1282,"+","1876938-1878219"
"11283","AT2G05190","2",1878725,1879018,294,"+","1878725-1879018"
"11284","AT2G05200","2",1883052,1887007,3956,"+","1883052-1887007"
"11286","AT2G05210","2",1890941,1894367,3427,"+","1890941-1894367"
"11289","AT2G05220","2",1894574,1896036,1463,"-","1894574-1896036"
"11290","AT2G05230","2",1899507,1902802,3296,"-","1899507-1902802"
"11291","AT2G05240","2",1907462,1911569,4108,"-","1907462-1911569"
"11292","AT2G05250","2",1913338,1916623,3286,"-","1913338-1916623"
"11293","AT2G05260","2",1918289,1920042,1754,"+","1918289-1920042"
"11295","AT2G05270","2",1920702,1921116,415,"-","1920702-1921116"
"11296","AT2G05280","2",1921241,1925279,4039,"-","1921241-1925279"
"11297","AT2G05290","2",1924850,1926681,1832,"-","1924850-1926681"
"11298","AT2G05294","2",1928530,1928622,93,"-","1928530-1928622"
"11299","AT2G05300","2",1931242,1933010,1769,"+","1931242-1933010"
"11300","AT2G05310","2",1933272,1934212,941,"-","1933272-1934212"
"11301","AT2G05320","2",1936016,1937464,1449,"+","1936016-1937464"
"11302","AT2G05330","2",1938618,1939470,853,"-","1938618-1939470"
"11303","AT2G05335","2",1942557,1943042,486,"+","1942557-1943042"
"11304","AT2G05340","2",1946843,1947592,750,"+","1946843-1947592"
"11305","AT2G05350","2",1949614,1954740,5127,"+","1949614-1954740"
"11306","AT2G05360","2",1956115,1959303,3189,"-","1956115-1959303"
"11307","AT2G05370","2",1960413,1961425,1013,"-","1960413-1961425"
"11309","AT2G05380","2",1966816,1968037,1222,"+","1966816-1968037"
"11311","AT2G05390","2",1970709,1974726,4018,"+","1970709-1974726"
"11312","AT2G05400","2",1974886,1976570,1685,"+","1974886-1976570"
"11314","AT2G05410","2",1976918,1978553,1636,"+","1976918-1978553"
"11315","AT2G05420","2",1983901,1985341,1441,"+","1983901-1985341"
"11316","AT2G05430","2",1985994,1987266,1273,"+","1985994-1987266"
"11317","AT2G05435","2",1989194,1989867,674,"+","1989194-1989867"
"11318","AT2G05440","2",1993082,1994166,1085,"+","1993082-1994166"
"11326","AT2G05441","2",1994362,1995546,1185,"+","1994362-1995546"
"11327","AT2G05450","2",1996202,2001144,4943,"+","1996202-2001144"
"11328","AT2G05460","2",2001506,2002195,690,"+","2001506-2002195"
"11329","AT2G05470","2",2002870,2003564,695,"+","2002870-2003564"
"11330","AT2G05475","2",2004334,2005026,693,"+","2004334-2005026"
"11331","AT2G05480","2",2005388,2006337,950,"-","2005388-2006337"
"11332","AT2G05490","2",2006873,2009701,2829,"-","2006873-2009701"
"11333","AT2G05500","2",2014368,2015406,1039,"-","2014368-2015406"
"11337","AT2G05510","2",2015706,2016749,1044,"+","2015706-2016749"
"11340","AT2G05518","2",2023295,2023995,701,"+","2023295-2023995"
"11341","AT2G05520","2",2026162,2027099,938,"+","2026162-2027099"
"11347","AT2G05530","2",2029712,2030544,833,"+","2029712-2030544"
"11348","AT2G05540","2",2033156,2034217,1062,"+","2033156-2034217"
"11349","AT2G05550","2",2036684,2040701,4018,"-","2036684-2040701"
"11350","AT2G05560","2",2042471,2047377,4907,"+","2042471-2047377"
"11351","AT2G05562","2",2047634,2048428,795,"+","2047634-2048428"
"11352","AT2G05564","2",2049209,2049904,696,"+","2049209-2049904"
"11353","AT2G05567","2",2050349,2051038,690,"+","2050349-2051038"
"11354","AT2G05570","2",2051569,2053475,1907,"-","2051569-2053475"
"11355","AT2G05580","2",2055549,2056700,1152,"+","2055549-2056700"
"11356","AT2G05590","2",2067097,2069170,2074,"+","2067097-2069170"
"11358","AT2G05600","2",2072646,2073547,902,"+","2072646-2073547"
"11359","AT2G05610","2",2075672,2078500,2829,"-","2075672-2078500"
"11360","AT2G05620","2",2081009,2081858,850,"-","2081009-2081858"
"11361","AT2G05630","2",2082986,2084882,1897,"-","2082986-2084882"
"11363","AT2G05632","2",2087145,2088130,986,"-","2087145-2088130"
"11364","AT2G05635","2",2089484,2090454,971,"+","2089484-2090454"
"11365","AT2G05640","2",2091129,2097116,5988,"-","2091129-2097116"
"11366","AT2G05642","2",2098087,2101167,3081,"-","2098087-2101167"
"11367","AT2G05645","2",2101497,2102111,615,"-","2101497-2102111"
"11368","AT2G05647","2",2104362,2104646,285,"-","2104362-2104646"
"11369","AT2G05660","2",2108121,2114699,6579,"-","2108121-2114699"
"11370","AT2G05670","2",2115724,2116777,1054,"+","2115724-2116777"
"11371","AT2G05680","2",2122963,2125485,2523,"+","2122963-2125485"
"11372","AT2G05690","2",2125593,2128107,2515,"-","2125593-2128107"
"11373","AT2G05700","2",2134584,2136771,2188,"+","2134584-2136771"
"11374","AT2G05710","2",2141399,2146678,5280,"+","2141399-2146678"
"11375","AT2G05715","2",2146547,2147042,496,"-","2146547-2147042"
"11376","AT2G05720","2",2147192,2148215,1024,"+","2147192-2148215"
"11377","AT2G05730","2",2153050,2153413,364,"-","2153050-2153413"
"11378","AT2G05740","2",2158245,2158727,483,"-","2158245-2158727"
"11379","AT2G05750","2",2164357,2166858,2502,"+","2164357-2166858"
"11380","AT2G05752","2",2169305,2170528,1224,"-","2169305-2170528"
"11381","AT2G05753","2",2171390,2171936,547,"-","2171390-2171936"
"11382","AT2G05755","2",2170883,2173760,2878,"+","2170883-2173760"
"11383","AT2G05760","2",2180919,2183904,2986,"+","2180919-2183904"
"11384","AT2G05765","2",2184567,2184645,79,"-","2184567-2184645"
"11385","AT2G05770","2",2187280,2188403,1124,"-","2187280-2188403"
"11386","AT2G05780","2",2193600,2196125,2526,"-","2193600-2196125"
"11387","AT2G05786","2",2198271,2198405,135,"-","2198271-2198405"
"11388","AT2G05790","2",2199219,2201486,2268,"+","2199219-2201486"
"11389","AT2G05800","2",2202628,2205721,3094,"+","2202628-2205721"
"11390","AT2G05801","2",2206724,2207100,377,"-","2206724-2207100"
"11391","AT2G05803","2",2208697,2208834,138,"-","2208697-2208834"
"11392","AT2G05810","2",2214012,2217159,3148,"-","2214012-2217159"
"11394","AT2G05812","2",2215236,2217150,1915,"+","2215236-2217150"
"11395","AT2G05820","2",2220295,2220915,621,"-","2220295-2220915"
"11396","AT2G05830","2",2229602,2232106,2505,"+","2229602-2232106"
"11401","AT2G05840","2",2234092,2236294,2203,"+","2234092-2236294"
"11402","AT2G05845","2",2236521,2238590,2070,"-","2236521-2238590"
"11403","AT2G05850","2",2242681,2244487,1807,"-","2242681-2244487"
"11404","AT2G05860","2",2246959,2248108,1150,"-","2246959-2248108"
"11405","AT2G05870","2",2249081,2249999,919,"-","2249081-2249999"
"11406","AT2G05880","2",2251716,2252970,1255,"-","2251716-2252970"
"11407","AT2G05890","2",2253935,2256078,2144,"-","2253935-2256078"
"11408","AT2G05900","2",2256970,2257908,939,"+","2256970-2257908"
"11409","AT2G05910","2",2258293,2259391,1099,"-","2258293-2259391"
"11410","AT2G05914","2",2263151,2264542,1392,"-","2263151-2264542"
"11411","AT2G05915","2",2263816,2264265,450,"+","2263816-2264265"
"11412","AT2G05920","2",2269515,2272229,2715,"-","2269515-2272229"
"11413","AT2G05930","2",2274783,2277843,3061,"+","2274783-2277843"
"11414","AT2G05935","2",2278835,2282788,3954,"+","2278835-2282788"
"11415","AT2G05940","2",2287238,2289307,2070,"-","2287238-2289307"
"11416","AT2G05950","2",2297816,2298721,906,"+","2297816-2298721"
"11417","AT2G05960","2",2302803,2307974,5172,"+","2302803-2307974"
"11418","AT2G05970","2",2308651,2309784,1134,"-","2308651-2309784"
"11419","AT2G05980","2",2313803,2317933,4131,"-","2313803-2317933"
"11420","AT2G05985","2",2318272,2319705,1434,"+","2318272-2319705"
"11422","AT2G05990","2",2322258,2325146,2889,"+","2322258-2325146"
"11423","AT2G05995","2",2325776,2326876,1101,"+","2325776-2326876"
"11425","AT2G06000","2",2327635,2329691,2057,"-","2327635-2329691"
"11426","AT2G06002","2",2330776,2331479,704,"+","2330776-2331479"
"11427","AT2G06005","2",2332547,2336156,3610,"+","2332547-2336156"
"11429","AT2G06010","2",2336814,2338902,2089,"+","2336814-2338902"
"11430","AT2G06020","2",2342535,2346207,3673,"+","2342535-2346207"
"11431","AT2G06025","2",2348136,2352157,4022,"+","2348136-2352157"
"11432","AT2G06040","2",2352154,2355559,3406,"-","2352154-2355559"
"11433","AT2G06045","2",2358727,2359113,387,"+","2358727-2359113"
"11434","AT2G06050","2",2359114,2362302,3189,"-","2359114-2362302"
"11437","AT2G06060","2",2364271,2365961,1691,"+","2364271-2365961"
"11438","AT2G06070","2",2366146,2369342,3197,"+","2366146-2369342"
"11439","AT2G06080","2",2369630,2371361,1732,"+","2369630-2371361"
"11440","AT2G06090","2",2371607,2372014,408,"-","2371607-2372014"
"11441","AT2G06095","2",2373522,2374745,1224,"+","2373522-2374745"
"11442","AT2G06100","2",2375867,2378098,2232,"+","2375867-2378098"
"11443","AT2G06110","2",2378200,2381130,2931,"-","2378200-2381130"
"11444","AT2G06120","2",2383060,2384982,1923,"+","2383060-2384982"
"11445","AT2G06125","2",2385512,2386021,510,"-","2385512-2386021"
"11446","AT2G06130","2",2387605,2389725,2121,"-","2387605-2389725"
"11447","AT2G06140","2",2392860,2394904,2045,"+","2392860-2394904"
"11448","AT2G06150","2",2402284,2405055,2772,"-","2402284-2405055"
"11449","AT2G06160","2",2405456,2408255,2800,"-","2405456-2408255"
"11450","AT2G06165","2",2409742,2410485,744,"-","2409742-2410485"
"11451","AT2G06166","2",2411005,2411656,652,"+","2411005-2411656"
"11452","AT2G06170","2",2415160,2418279,3120,"+","2415160-2418279"
"11453","AT2G06180","2",2419319,2422450,3132,"-","2419319-2422450"
"11454","AT2G06190","2",2423152,2424091,940,"+","2423152-2424091"
"11455","AT2G06200","2",2426271,2427323,1053,"+","2426271-2427323"
"11456","AT2G06210","2",2428903,2436687,7785,"-","2428903-2436687"
"11457","AT2G06220","2",2437307,2439691,2385,"+","2437307-2439691"
"11458","AT2G06230","2",2440437,2440733,297,"-","2440437-2440733"
"11459","AT2G06235","2",2441604,2442163,560,"+","2441604-2442163"
"11460","AT2G06240","2",2444404,2447594,3191,"-","2444404-2447594"
"11461","AT2G06245","2",2447770,2448513,744,"+","2447770-2448513"
"11462","AT2G06250","2",2449509,2450772,1264,"+","2449509-2450772"
"11463","AT2G06255","2",2457573,2459811,2239,"+","2457573-2459811"
"11464","AT2G06260","2",2463009,2465242,2234,"+","2463009-2465242"
"11465","AT2G06270","2",2468808,2470893,2086,"+","2468808-2470893"
"11466","AT2G06280","2",2471485,2472485,1001,"+","2471485-2472485"
"11467","AT2G06285","2",2474012,2474764,753,"+","2474012-2474764"
"11468","AT2G06290","2",2475752,2484523,8772,"+","2475752-2484523"
"11469","AT2G06296","2",2484910,2485731,822,"+","2484910-2485731"
"11470","AT2G06303","2",2487810,2488538,729,"+","2487810-2488538"
"11471","AT2G06310","2",2489661,2494283,4623,"+","2489661-2494283"
"11472","AT2G06330","2",2495461,2497284,1824,"+","2495461-2497284"
"11473","AT2G06335","2",2499009,2499980,972,"+","2499009-2499980"
"11474","AT2G06340","2",2502770,2504333,1564,"-","2502770-2504333"
"11475","AT2G06350","2",2505325,2510457,5133,"-","2505325-2510457"
"11476","AT2G06370","2",2512991,2513365,375,"-","2512991-2513365"
"11477","AT2G06380","2",2514940,2515351,412,"-","2514940-2515351"
"11478","AT2G06390","2",2516586,2516712,127,"-","2516586-2516712"
"11479","AT2G06400","2",2523645,2527757,4113,"-","2523645-2527757"
"11480","AT2G06410","2",2531435,2534389,2955,"-","2531435-2534389"
"11481","AT2G06420","2",2538743,2540365,1623,"+","2538743-2540365"
"11482","AT2G06430","2",2543161,2547826,4666,"+","2543161-2547826"
"11483","AT2G06440","2",2550125,2554730,4606,"+","2550125-2554730"
